Date,Portfolio,Equity,FixedIncome,Commodity
2020-01-02,0.0058290468787070004,0.008378781594537532,0.0017605633802817433,0.007347795661301504
2020-01-03,0.009678365693413626,0.0012597577055695197,0.007042253521126751,0.020713785864240775
2020-01-06,0.01395661384076674,0.0047976030556089455,0.005721830985915499,0.03142057382785168
2020-01-07,0.013599615151461908,0.0019809457777997252,0.0035211267605632646,0.03547935619314235
2020-01-08,0.01227690313399532,0.006893072261187738,0.0022007042253520126,0.027711686494052312
2020-01-09,0.012911938316599203,0.013594240400151003,0.0030809859154929953,0.021903428971308925
2020-01-10,0.014723322098540548,0.010700202427896599,0.00528169014084523,0.028061581525542723
2020-01-13,0.014129129750952707,0.017751131305752788,0.003961267605633978,0.020433869839048713
2020-01-14,0.014056779177165524,0.01620970787240239,0.006161971830986213,0.01952414275717329
2020-01-15,0.017104627171941722,0.01811017772797907,0.007482394366197687,0.02547235829251271
2020-01-16,0.018964706036097123,0.02662824457251811,0.006161971830986435,0.023862841147656244
2020-01-17,0.020457559113671753,0.030593231355895423,0.004841549295775183,0.025752274317705437
2020-01-21,0.021118734320457522,0.02786014522808733,0.00836267605633867,0.02687193841847524
2020-01-22,0.021630249383269406,0.02815728709475729,0.009242957746479652,0.02722183344996565
2020-01-23,0.0235269481330751,0.029330378422548042,0.011443661971831887,0.02953114065780338
2020-01-24,0.02332715354949455,0.02002302849466675,0.01408450704225439,0.0355493351994407
2020-01-27,0.02206603761826309,0.003977367694488532,0.01936619718309962,0.04261721483554992
2020-01-28,0.02156730479965696,0.014070905477933993,0.016725352112677117,0.0333100069979011
2020-01-29,0.024443734705270836,0.013191860789035337,0.020686619718310872,0.038908327501749884
2020-01-30,0.025537059962791764,0.01636756448907062,0.020686619718310872,0.03897830650804779
2020-01-31,0.022938611213147553,-0.001628089811129274,0.02508802816901512,0.044996501049685556
2020-02-03,0.022904590269533065,0.005614743188951277,0.02420774647887436,0.03820853743876884
2020-02-04,0.02196500090670206,0.020679216783562993,0.019366197183099843,0.024702589223233318
2020-02-05,0.02518672663674626,0.03216251183924612,0.016285211267606847,0.025962211336599372
2020-02-06,0.02846058110952443,0.03559511944483984,0.01716549295774783,0.03149055283415003
2020-02-07,0.028554520730211586,0.030002042850333144,0.020246478873240825,0.0342197340797763
