,,Ann_Return,Ann_Vol,Sharpe,Max_Drawdown
Train,MVO,0.03339745428282326,0.0528156524931156,0.4430022763776905,-0.08764927077085072
Train,HRP,0.037403061226709555,0.04905795130131747,0.558585519774317,-0.07935771392869617
Train,Equal_Weight,0.06199173396554958,0.07640694636946592,0.6804582100970696,-0.13553942446443057
Test,MVO,0.028865125616188703,0.07873743410074717,0.23959538219203516,-0.1713324094224986
Test,HRP,0.020740997312706844,0.077582913995144,0.13844539679676293,-0.17578959086057344
Test,Equal_Weight,0.10094314877717037,0.09637701173057987,0.9436186819259372,-0.17467963028249467
